#{"t_start": 1768590364.6520545, "env_id": "None"}
r,l,t
-12000.0,1200,114.302399
-6644.858,1200,124.031866
-12000.0,1200,134.794187
-12000.0,1200,146.814424
-4793.4287,1200,156.135675
-6703.5693,1200,271.75412
-5907.432,1200,281.49968
-12000.0,1200,292.711568
-12000.0,1200,304.080031
-12000.0,1200,323.881451
0,51.958175
-12000.0,1200,51.958179
-11645.502,1200,51.958183
-12000.0,1200,51.958186
-12000.0,1200,51.958189
-12000.0,1200,51.958192
-12000.0,1200,51.958195
-12000.0,1200,51.958199
-11583.325,1200,51.958202
-6164.849,1200,51.958205
-12000.0,1200,99.676159
-12000.0,1200,99.676205
-7007.493,1200,99.676212
-11022.186,1200,99.676216
-12000.0,1200,99.67622
-5313.9395,1200,99.676224
-11307.07,1200,99.676228
-12000.0,1200,99.676231
-11474.3,1200,99.676235
-12000.0,1200,99.676239
-12000.0,1200,99.676242
-12000.0,1200,99.676245
-11340.275,1200,99.676249
-12000.0,1200,99.676253
-5003.0386,1200,99.676257
-12000.0,1200,99.67626
-6323.8975,1200,99.676264
-11429.697,1200,99.676268
-12000.0,1200,99.676271
-10367.908,1200,99.676276
-12000.0,1200,202.868944
-11612.275,1200,202.868993
-4255.89,1200,202.869001
-12000.0,1200,202.869006
-12000.0,1200,202.869011
-11298.916,1200,202.869015
-12000.0,1200,202.869019
-4763.5303,1200,202.869023
-12000.0,1200,202.869028
-12000.0,1200,202.869032
-12000.0,1200,202.869035
-12000.0,1200,202.869039
-12000.0,1200,202.869044
-4788.0254,1200,202.869053
-12000.0,1200,202.86906
-10805.32,1200,202.869064
-8833.186,1200,202.869067
-12000.0,1200,202.869071
-11236.979,1200,202.869074
-12000.0,1200,202.869077
-6341.3413,1200,258.245607
-12000.0,1200,258.245664
-3403.9375,1200,258.245679
-10766.337,1200,258.24569
-11852.921,1200,258.2457
-5921.843,1200,258.24571
-5972.4277,1200,258.24572
-12000.0,1200,258.245729
-5990.21,1200,258.245738
-5014.1606,1200,258.245747
-12000.0,1200,258.245757
-12000.0,1200,258.245766
-5155.2676,1200,258.245775
-5888.8066,1200,258.245785
-10819.028,1200,258.245794
-10419.589,1200,258.245803
-10763.955,1200,258.245813
-12000.0,1200,258.245822
-11847.666,1200,258.245831
-12000.0,1200,258.24584
-12000.0,1200,369.228178
-4420.2837,1200,369.228232
-5819.393,1200,369.228246
-12000.0,1200,369.228257
-8289.58,1200,369.228266
-5240.8354,1200,369.228276
-3922.6636,1200,369.228285
-3232.496,1200,369.228294
-12000.0,1200,369.228303
-8554.656,1200,369.228312
-12000.0,1200,369.228321
-5588.96,1200,369.22833
-12000.0,1200,369.228339
-4862.71,1200,369.228348
-7201.6963,1200,369.228358
-12000.0,1200,369.228367
-5178.515,1200,369.228376
-12000.0,1200,369.228385
-4483.8677,1200,369.228394
-3252.7375,1200,369.228403
-12000.0,1200,415.754419
-4907.4883,1200,415.75448
-12000.0,1200,415.754494
-12000.0,1200,415.754506
-12000.0,1200,415.754516
-12000.0,1200,415.754525
-10745.721,1200,415.754566
-8254.237,1200,415.754574
-12000.0,1200,415.754579
-12000.0,1200,415.754583
-2440.7214,1200,415.754586
-11390.228,1200,415.75459
-5815.562,1200,415.754594
-12000.0,1200,415.754597
-12000.0,1200,415.7546
-12000.0,1200,415.754604
-12000.0,1200,415.754607
-12000.0,1200,415.75461
-12000.0,1200,415.754614
-11861.697,1200,415.754617
